Group,Alpha,Lambda,FairnessType,Predictor mean,Decision Regret mean,Decision Regret std,loss,loss_std,Fairness Penalty mean,Fairness Penalty std,G0 MSE mean,G0 MSE std,G0 Decision Obj mean,G0 Decision Obj std,G0 True Benefit mean,G0 True Benefit std,G1 MSE mean,G1 MSE std,G1 Decision Obj mean,G1 Decision Obj std,G1 True Benefit mean,G1 True Benefit std
False,2.0,0.05,mad,FairRiskPredictor,0.030631081565421676,0.0024389562444103344,28.94025295519569,2.299541869758468,210.61582005894914,21.8302190971246,152.657126094007,16.19270191295936,-558.124302379576,9.111384790672947,12.213636814265035,0.29027373393351086,232.50068805373863,10.19149865327355,-59.785621991629505,1.6896769272806813,16.5811337273683,0.5128104841759318
False,2.0,0.5,mad,FairRiskPredictor,0.043754728923606954,0.0035412237183784973,68.2372309415954,11.588539119554888,83.87503197495136,19.682336870255224,67.90354054057612,15.16524787525411,-564.0703668863628,8.999586676116111,12.213636814265035,0.29027373393351086,102.33884573573414,15.396793766526741,-60.84882999818916,1.5721563339324471,16.5811337273683,0.5128104841759318
True,0.5,0.0,atkinson,FairRiskPredictor,0.13248748083909354,0.003941962414544431,1963.1429036458333,78.61439684578731,0.005741409658930626,0.0013483120294015137,342.54716814509766,15.787939930905054,9748.69307745819,70.58414369870583,12.213636814265035,0.29027373393351086,526.063319369929,12.571921492431787,3116.3259880226237,136.9584208710843,16.5811337273683,0.5128104841759318
True,0.5,1.0,atkinson,FairRiskPredictor,0.13248748083909354,0.003941962414544431,1963.1486450554924,78.61470826572953,0.005741409658930626,0.0013483120294015137,342.54716814509766,15.787939930905054,9748.69307745819,70.58414369870583,12.213636814265035,0.29027373393351086,526.063319369929,12.571921492431787,3116.3259880226237,136.9584208710843,16.5811337273683,0.5128104841759318
True,0.5,5.0,atkinson,FairRiskPredictor,0.13248748083909354,0.003941962414544431,1963.1716106941278,78.61595416440603,0.005741409658930626,0.0013483120294015137,342.54716814509766,15.787939930905054,9748.69307745819,70.58414369870583,12.213636814265035,0.29027373393351086,526.063319369929,12.571921492431787,3116.3259880226237,136.9584208710843,16.5811337273683,0.5128104841759318
True,2.0,0.0,atkinson,FairRiskPredictor,0.11946634203195572,0.006822593737891995,0.002213684841990471,0.00010452804126863675,0.005697555632561173,0.0013219846501297476,345.42845219170454,19.584460745148913,-687.4843027880856,4.7182523976688575,12.213636814265035,0.29027373393351086,531.2763329346026,10.852633294018057,-66.79418591243764,2.0638587516553932,16.5811337273683,0.5128104841759318
True,2.0,1.0,atkinson,FairRiskPredictor,0.13182655721902847,0.00876545194181978,0.006019375940200744,0.0006162787515447121,0.003575795051989017,0.00077099313351723,333.8762932146015,20.802980421455413,-666.3438962237454,12.369928637002682,12.213636814265035,0.29027373393351086,459.9973241888354,14.2819172482903,-69.19311697535566,2.2131093554314667,16.5811337273683,0.5128104841759318
True,2.0,5.0,atkinson,FairRiskPredictor,0.13204478472471237,0.008459656629223827,0.02032003928458855,0.003702815299954086,0.0035744850297494044,0.0007703776214253563,333.87644935086774,20.82850566124295,-666.3514284371937,12.360086915972156,12.213636814265035,0.29027373393351086,459.95676788213996,14.328549033507628,-69.21418981108688,2.205036693437636,16.5811337273683,0.5128104841759318
True,0.5,0.0,mad,FairRiskPredictor,0.13248748083909354,0.003941962414544431,1963.1429036458333,78.61439684578731,91.84737506789156,8.190338571816511,342.54716814509766,15.787939930905054,9748.69307745819,70.58414369870583,12.213636814265035,0.29027373393351086,526.063319369929,12.571921492431787,3116.3259880226237,136.9584208710843,16.5811337273683,0.5128104841759318
True,0.5,0.05,mad,FairRiskPredictor,0.13248748083909354,0.003941962414544431,1967.735272399228,78.73663012840238,91.84737506789156,8.190338571816511,342.54716814509766,15.787939930905054,9748.69307745819,70.58414369870583,12.213636814265035,0.29027373393351086,526.063319369929,12.571921492431787,3116.3259880226237,136.9584208710843,16.5811337273683,0.5128104841759318
True,0.5,0.5,mad,FairRiskPredictor,0.13248748083909354,0.003941962414544431,2009.066591179779,79.92278828505823,91.84737506789156,8.190338571816511,342.54716814509766,15.787939930905054,9748.69307745819,70.58414369870583,12.213636814265035,0.29027373393351086,526.063319369929,12.571921492431787,3116.3259880226237,136.9584208710843,16.5811337273683,0.5128104841759318
True,2.0,0.0,mad,FairRiskPredictor,0.11946634203195572,0.006822593737891995,0.002213684841990471,0.00010452804126863675,92.0643873863602,6.958481712678439,345.42845219170454,19.584460745148913,-687.4843027880856,4.7182523976688575,12.213636814265035,0.29027373393351086,531.2763329346026,10.852633294018057,-66.79418591243764,2.0638587516553932,16.5811337273683,0.5128104841759318
True,2.0,0.05,mad,FairRiskPredictor,0.13467140744129816,0.013758674693188063,2.9458926055486927,0.6045079467789343,58.867868810705204,12.095571588446473,317.0323584126676,21.25008932953989,-655.4602453130173,7.418829760431923,12.213636814265035,0.29027373393351086,419.9289220397034,30.608688959807687,-69.80741406564454,1.6375019737478256,16.5811337273683,0.5128104841759318
True,2.0,0.5,mad,FairRiskPredictor,0.1346715266505877,0.013758800734931203,29.436388660349348,6.047520024332631,58.86777898632565,12.095581324683167,317.01225094478013,21.27879141502062,-655.4466314211674,7.392735650305365,12.213636814265035,0.29027373393351086,419.8956781556655,30.673678498645124,-69.80511474740909,1.637722868425575,16.5811337273683,0.5128104841759318
