,Group,Grad Method,Alpha,Lambda,Fairness,Decision Regret mean,Decision Regret std,Prediction MSE mean,Prediction MSE std,Prediction Fairness mean,Prediction Fairness std,Training Time mean,Training Time std,G0 MSE,G0_mse_std,G1 MSE,G1_mse_std,G0 Fairness,G0_fairness_std,G1 Fairness,G1_fairness_std,G0 Objective,G0_objective_std,G1 Objective,G1_objective_std
10,True,closed-form,2.0,0.05,mad,0.07472785317405228,0.001297306047252332,236.39976501464844,1.1028900146484375,53.07427215576172,0.24254608154296875,8.934022903442383,0.18527936935424805,223.74684143066406,1.1607208251953125,329.8953857421875,0.675628662109375,310.96983337402344,1.5250701904296875,405.9680938720703,0.1644439697265625,6.379302,0.024590254,8.206194,0.071721554
11,True,closed-form,2.0,0.5,mad,0.10035171231232884,0.0024699523290174913,222.03021240234375,0.1822052001953125,35.61518096923828,0.4844970703125,9.025533556938171,0.032053589820861816,213.53955078125,0.2977142333984375,284.76991271972656,0.6712799072265625,297.5697937011719,0.452972412109375,354.04388427734375,1.370330810546875,6.5427303,0.03873658,8.014479,0.013562679
12,True,finite-diff,0.5,0.0,atkinson,0.04440956042702906,1.0417035148736764e-05,319.2976379394531,0.880523681640625,0.0036543607711791992,3.260374069213867e-05,83.28979825973511,1.418668270111084,304.11317443847656,0.7664031982421875,431.49974060058594,1.7238311767578125,0.646286278963089,0.0007560551166534424,0.5442591607570648,0.001721113920211792,8.751169,0.024418354,50.28703,1.1135826
13,True,finite-diff,0.5,1.0,atkinson,0.048316756753618864,0.0009017565234642512,314.23118591308594,3.2826690673828125,0.0028890371322631836,0.00010675191879272461,85.11914801597595,1.1600565910339355,301.0367126464844,2.887359619140625,411.72869873046875,6.20355224609375,0.6458037495613098,0.0006940960884094238,0.5448724031448364,0.0005496740341186523,8.736514,0.009742737,50.84647,0.23059082
14,True,finite-diff,0.5,5.0,atkinson,0.06468027335724562,0.0005702032468715423,314.6521453857422,1.6750946044921875,0.003226757049560547,2.664327621459961e-05,36.020522475242615,0.48941266536712646,300.6448516845703,1.5392913818359375,418.15577697753906,2.6785430908203125,0.6504606902599335,6.54757022857666e-05,0.555827409029007,0.0011065900325775146,8.559082,0.116042614,46.069603,0.96102333
15,True,finite-diff,2.0,0.0,atkinson,0.14702035882071854,0.0022125967691128956,296.56134033203125,2.6815185546875,0.0038174092769622803,6.189942359924316e-05,100.19666194915771,0.7356681823730469,282.1285858154297,2.6756439208984375,403.20875549316406,2.7246551513671875,0.6415794193744659,6.470084190368652e-05,0.5395201742649078,0.0007869899272918701,7.6114993,0.04826832,9.465384,0.011665821
16,True,finite-diff,2.0,1.0,atkinson,0.1472238853427128,0.005710603076333351,295.67173767089844,9.263656616210938,0.004113197326660156,0.00028455257415771484,100.37814927101135,0.8924524784088135,280.6880645751953,8.241806030273438,406.3900909423828,16.814773559570312,0.6433514952659607,0.0023536086082458496,0.5414868593215942,0.003583192825317383,7.573034,0.017773151,9.566764,0.075154305
17,True,finite-diff,2.0,5.0,atkinson,0.14593106606751366,0.001628470924284267,303.0620880126953,3.8627777099609375,0.004152119159698486,6.03795051574707e-05,100.79021668434143,1.3195607662200928,287.6381530761719,3.785675048828125,417.0334930419922,4.4325408935546875,0.6409047245979309,0.0005537867546081543,0.536655455827713,0.0011902153491973877,7.625798,0.048496246,9.618094,0.05365944
18,True,finite-diff,0.5,0.0,mad,0.04440956042702906,1.0417035148736764e-05,319.2976379394531,0.880523681640625,63.69328308105469,0.4787139892578125,85.57499635219574,1.0894356966018677,304.11317443847656,0.7664031982421875,431.49974060058594,1.7238311767578125,426.43145751953125,1.5947265625,537.7511901855469,2.899078369140625,8.751169,0.024418354,50.28703,1.1135826
19,True,finite-diff,0.5,0.05,mad,0.07272017525975474,0.00022054486847836174,300.2612609863281,1.2244873046875,53.026947021484375,0.1726226806640625,34.834874510765076,0.001724839210510254,287.61961364746094,1.1833343505859375,393.6735076904297,1.5285797119140625,408.53883361816406,1.3107452392578125,506.62843322753906,2.4511566162109375,8.8841305,0.11464167,47.103428,0.7397995
