Group,Alpha,Lambda,Fairness,regret,mse,fairness,training_time,G0_decision_obj,G0_decision_obj_std,G0_mse,G0_mse_std,G1_decision_obj,G1_decision_obj_std,G1_mse,G1_mse_std,fairness_std,mse_std,regret_std,training_time_std
False,0.5,1.0,mad,0.15835825953238566,308.02728271484375,437.03796,2.8019533157348633,2.8307796319325766,0.03894800968211271,293.57387288411456,0.6941129387749961,4.271247227986653,0.04801666067778397,419.91497802734375,3.79218225381837,1.4300138,1.0396946173991755,0.001707839047999943,0.06441367508384638
False,0.8,1.0,mad,0.00793468525713914,308.02728271484375,437.03796,2.905315637588501,1.9768837292989094,0.006511877826157042,293.57387288411456,0.6941129387749961,2.960228761037191,0.013580105031094815,419.91497802734375,3.79218225381837,1.4300138,1.0396946173991755,5.407317189863914e-05,0.061060500523373126
False,1.5,1.0,mad,0.06367067794528376,308.02728271484375,437.03796,2.8123817443847656,1.5004053910573323,0.0038107157660891597,293.57387288411456,0.6941129387749961,2.034524440765381,0.012110776394713087,419.91497802734375,3.79218225381837,1.4300138,1.0396946173991755,0.00037334006930281094,0.09725971689905236
False,2.0,1.0,mad,0.37013222146675323,308.02728271484375,437.03796,2.84481143951416,1.374310572942098,0.004083140980116157,293.57387288411456,0.6941129387749961,1.8019638856252034,0.014974839614303606,419.91497802734375,3.79218225381837,1.4300138,1.0396946173991755,0.0019180860606852733,0.10560331184492656
False,0.5,0.01,mad,0.15836306383451626,307.86180623372394,436.8065,2.845601240793864,2.8323267300923667,0.03649917132039271,293.4082743326823,0.8020950179518439,4.28603728612264,0.06316625758522945,419.7504374186198,3.8810088747149547,1.5900084,1.1491997427261411,0.0018189420839175216,0.07525528656879808
False,0.8,0.01,mad,0.00793370777186612,307.86180623372394,436.8065,2.8437718550364175,1.9770131508509319,0.006400753698656804,293.4082743326823,0.8020950179518439,2.9623971780141196,0.015938086630163304,419.7504374186198,3.8810088747149547,1.5900084,1.1491997427261411,5.9296757393160954e-05,0.14507779830112755
False,1.5,0.01,mad,0.06365902925931038,307.86180623372394,436.8065,2.864295164744059,1.5002363920211792,0.00384275608055069,293.4082743326823,0.8020950179518439,2.0332926909128823,0.013394297039609683,419.7504374186198,3.8810088747149547,1.5900084,1.1491997427261411,0.0004185147462769049,0.07880500941157213
False,2.0,0.01,mad,0.37008056827423563,307.86180623372394,436.8065,2.905332167943319,1.3740617831548054,0.0041746621221062236,293.4082743326823,0.8020950179518439,1.800615668296814,0.016329465348273158,419.7504374186198,3.8810088747149547,1.5900084,1.1491997427261411,0.0023328444633705205,0.06531420619859028
False,0.5,0.0,atkinson,0.15836657742861174,307.8660888671875,0.66349083,1.6763850053151448,2.8322112560272217,0.03648882882575257,293.4136962890625,0.7940093726652461,4.286301771799724,0.0634554995576822,419.74574788411456,3.887009796377527,0.0006060608,1.1422262068233344,0.0018108032859607418,0.42450257414371445
False,0.8,0.0,atkinson,0.007933862111646072,307.8660888671875,0.66349083,1.426137129465739,1.9770047267278035,0.006397908211184879,293.4136962890625,0.7940093726652461,2.9624383449554443,0.0159908059433138,419.74574788411456,3.887009796377527,0.0006060608,1.1422262068233344,5.891408829412792e-05,0.06636968712810083
