Group,Grad Method,Alpha,Beta,Lambda,Fairness,Final Regret,Final MSE,Final Fairness
False,closed-form,1.5,N/A,0.0,None,0.41065689432815006,347.8157450358073,0.0
False,closed-form,2.0,N/A,0.0,None,2.0850731480462428,339.2137451171875,0.0
False,closed-form,0.5,N/A,1.0,mad,0.22354146156702634,307.42518107096356,427.5975036621094
False,closed-form,1.0,N/A,1.0,mad,-3.1126075011806513,347.3394063313802,484.3689473470052
False,closed-form,1.5,N/A,1.0,mad,0.41065689432815006,347.8157450358073,488.6566874186198
False,closed-form,2.0,N/A,1.0,mad,2.0850731480462428,339.2137451171875,475.6204833984375
False,closed-form,0.5,N/A,1.0,atkinson,0.22354146156702634,307.42518107096356,0.657579223314921
False,closed-form,1.0,N/A,1.0,atkinson,-3.1126075011806513,347.3394063313802,0.658796509106954
False,closed-form,1.5,N/A,1.0,atkinson,0.41065689432815006,347.8157450358073,0.6631167332331339
False,closed-form,2.0,N/A,1.0,atkinson,2.0850731480462428,339.2137451171875,0.6649564504623413
False,finite-diff,0.5,N/A,0.0,None,0.185933707152052,310.06653849283856,0.0
False,finite-diff,1.0,N/A,0.0,None,-3.1126075011806513,347.3394063313802,0.0
False,finite-diff,1.5,N/A,0.0,None,0.13303745727680724,306.9713134765625,0.0
False,finite-diff,2.0,N/A,0.0,None,0.7196510295331134,301.20533243815106,0.0
False,finite-diff,0.5,N/A,1.0,mad,0.17127585721527183,314.1824951171875,440.69793701171875
False,finite-diff,1.0,N/A,1.0,mad,0.05045579674450509,325.1455993652344,453.6981201171875
False,finite-diff,1.5,N/A,1.0,mad,0.1442590459263354,306.1994323730469,429.2805582682292
False,finite-diff,2.0,N/A,1.0,mad,0.7264264452114193,299.42165120442706,420.2579345703125
False,finite-diff,0.5,N/A,1.0,atkinson,0.185933707152052,310.06653849283856,0.6662649313608805
False,finite-diff,1.0,N/A,1.0,atkinson,-1.015138039356238,330.11817423502606,0.6588911414146423
False,finite-diff,1.5,N/A,1.0,atkinson,0.13303745727680724,306.9713134765625,0.6638446052869161
False,finite-diff,2.0,N/A,1.0,atkinson,0.7196510295331134,301.20533243815106,0.6624356706937155
