Alpha,Group,Lambda,FairnessType,G0_decision_obj_mean,G0_decision_obj_std,G0_mse_mean,G0_mse_std,G1_decision_obj_mean,G1_decision_obj_std,G1_mse_mean,G1_mse_std,final_fairness_penalty_mean,final_fairness_penalty_std,final_loss_mean,final_loss_std,final_regret_mean,final_regret_std
0.5,False,1.0,mad,10094.944976000948,37.06358977697164,319.74144859997915,5.516562421650235,1823.2359292548215,84.04587727663875,589.9669838342254,2.1607238218970224,491.00315960761094,8.080325657623519,491.17131724064365,8.084405280713895,0.16815763303271297,0.00407962309036311
0.5,False,0.01,mad,10050.228475476888,42.09926217543216,323.82494134266636,4.325690934456873,1786.896722251175,66.27648628602628,600.5237214270774,7.764999592234858,497.22326937169083,5.972764680240232,5.146035702088524,0.06290140197012928,0.1738030083716146,0.003173755167726819
0.8,True,0.0,atkinson,13511.522734632594,30.3388952963287,323.9056317713164,4.297158328039387,2686.743809113632,9.627485962492983,608.4697477308165,6.684398473811598,0.0,0.0,0.0017535872757434845,3.300001844763756e-05,0.0017535872757434845,3.300001844763756e-05
0.8,True,1.0,atkinson,13505.268426841983,30.209461172480587,320.0585795224864,4.035615565563575,2689.8739537813663,9.625012278561144,566.8349359481454,6.880313856314331,0.010215634041061128,0.0009401938631675155,0.011924389950992043,0.0009086019462450357,0.0017087559099309146,3.159191692247987e-05
0.8,True,10.0,atkinson,13505.267410332473,30.20939388613442,320.05924121218266,4.035312413578822,2689.8739352260927,9.6249715986512,566.8344774333841,6.880864535084868,0.010215520614354268,0.0009401853416353134,0.10386396205347359,0.009370261499430654,0.0017087559099309146,3.159191692247987e-05
0.8,False,0.0,atkinson,14681.707530602662,32.39760834595472,313.697593739597,3.708896527923997,2087.659261134717,8.825585841276734,573.1803197335205,9.658433455185389,0.0,0.0,0.008551193886600235,0.00011497926829020545,0.008551193886600235,0.00011497926829020545
0.8,False,1.0,atkinson,14679.987753461031,33.348796957257036,317.3710599869073,3.814902701030462,2081.737330865536,7.908551128874251,581.6285333017836,10.200086810437938,0.6736099048024197,0.0032458862160616997,0.6826083838103688,0.0033648850469210068,0.008998479007949152,0.00011899883085934176
0.8,False,10.0,atkinson,14678.397487847787,33.371456747305274,317.8937757620906,3.7604834579179567,2082.668903837175,7.687755550781958,579.2963331444978,11.77616777764814,0.6734712614191369,0.0032174522463823685,6.74375015744838,0.03228149714803097,0.009037543257010791,0.00010697468420716588
0.8,True,0.0,mad,13511.522734632594,30.3388952963287,323.9056317713164,4.297158328039387,2686.743809113632,9.627485962492983,608.4697477308165,6.684398473811598,0.0,0.0,0.0017535872757434845,3.300001844763756e-05,0.0017535872757434845,3.300001844763756e-05
0.8,True,1.0,mad,13508.319260460601,29.826985101321043,316.39725436416876,4.32414969683191,2689.978156665904,9.727393196566254,563.3911072764186,6.6884325272458796,124.04481195162839,5.54132206355257,124.04649179829607,5.541290717679431,0.0016798466676846147,3.134587313979864e-05
0.8,True,0.01,mad,13508.45772803063,29.826630432519778,315.55250067608154,4.380745428698816,2690.129865409872,9.749396965990854,560.2922050967416,6.29959630115593,122.93720189900273,5.373562573313137,1.2310458995470914,0.053703590739493934,0.001673880557063967,3.203499363735318e-05
0.8,False,0.0,mad,14681.707530602662,32.39760834595472,313.697593739597,3.708896527923997,2087.659261134717,8.825585841276734,573.1803197335205,9.658433455185389,0.0,0.0,0.008551193886600235,0.00011497926829020545,0.008551193886600235,0.00011497926829020545
0.8,False,1.0,mad,14680.007907566316,31.38594855935844,309.3333765132825,3.9545163584926115,2088.232374231863,8.589502358597883,561.1185322062419,8.172314122259195,475.21962369107155,5.386716992985129,475.2282389943226,5.386759322095344,0.008615303251121644,4.232911021625867e-05
0.8,False,0.01,mad,14679.819455691948,31.439404963427478,307.61838459399826,3.8116326535230485,2089.171563611475,8.513401652635139,556.0316168852955,8.37500500565261,472.529878969352,5.192473432478749,4.733869482706623,0.05196500825406991,0.008570693013103602,4.027392928247862e-05
1.5,True,0.0,atkinson,-3068.8320951914184,18.702314820186302,316.51842414436794,4.072311724133016,-212.11658891878693,1.872032536024463,582.4260278855378,6.978179392904849,0.0,0.0,0.030813470482826233,0.0005126744508743286,0.030813470482826233,0.0005126744508743286
1.5,True,1.0,atkinson,-3072.5664759021547,19.090552508418796,319.35023172216495,4.081304612742144,-212.74153252697698,1.705619368881159,566.1128675541804,6.863633579514101,0.010251492815544883,0.0009483073568263278,0.04186629931860236,0.0004764620876231418,0.03161480650305748,0.00047184526920318604
1.5,True,10.0,atkinson,-3073.7924926275327,18.934520662583964,319.9784986696229,4.033741002847421,-212.81804279893444,1.6728960091171245,566.744983190059,6.871253637183202,0.010219121369949902,0.0009397360556165357,0.1340076161497029,0.008964472510258337,0.031816402450203896,0.00043288804590702057
